date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,city
2023-04-10,56.52916666666667,35.875,727.5,46.125,35.40416666666667,81.91666666666667,Delhi
2023-04-11,49.104166666666664,28.329166666666666,580.4166666666666,37.699999999999996,24.491666666666664,91.75,Delhi
2023-04-12,60.041666666666664,34.137499999999996,657.25,38.324999999999996,22.525000000000002,83.20833333333333,Delhi
2023-04-13,57.67916666666667,34.24166666666667,704.9166666666666,44.1,26.9375,81.29166666666667,Delhi
2023-04-14,61.59583333333333,38.49583333333333,937.0416666666666,51.53333333333333,34.016666666666666,78.45833333333333,Delhi
2023-04-15,80.075,53.637499999999996,1363.9583333333333,59.699999999999996,53.375,86.54166666666667,Delhi
2023-04-16,96.19166666666666,65.14583333333333,1402.2083333333333,66.12916666666666,54.125,86.95833333333333,Delhi
2023-04-17,70.44166666666666,45.38333333333333,1230.4583333333333,46.87916666666666,40.47083333333333,69.83333333333333,Delhi
2023-04-18,84.66666666666667,52.1625,1727.2916666666667,52.06666666666666,47.31666666666666,56.458333333333336,Delhi
2023-04-19,59.44166666666666,32.59166666666667,587.4583333333334,31.675,26.141666666666666,75.20833333333333,Delhi
2023-04-20,67.76666666666667,40.145833333333336,665.4166666666666,43.24166666666667,36.69583333333333,77.33333333333333,Delhi
2023-04-21,64.8,39.541666666666664,637.7916666666666,41.458333333333336,38.74583333333333,91.0,Delhi
2023-04-22,53.2875,34.4,691.5416666666666,44.40833333333333,33.99583333333333,93.16666666666667,Delhi
2023-04-23,49.2125,31.962500000000002,618.8333333333334,44.40833333333333,34.137499999999996,86.16666666666667,Delhi
2023-04-24,69.86666666666666,44.54583333333333,778.625,50.26666666666667,45.80833333333334,80.54166666666667,Delhi
2023-04-25,84.10833333333333,55.9,999.3333333333334,46.324999999999996,48.00416666666666,103.0,Delhi
2023-04-26,106.26666666666667,73.10416666666667,1733.6666666666667,77.59166666666667,64.07916666666667,101.41666666666667,Delhi
2023-04-27,93.80416666666667,62.875,1127.4583333333333,66.96249999999999,48.725,96.875,Delhi
2023-04-28,107.65416666666665,71.32083333333334,1084.5,77.82083333333334,61.05416666666667,79.41666666666667,Delhi
2023-04-29,95.16666666666667,60.82916666666667,760.875,58.72083333333333,42.92083333333333,96.875,Delhi
2023-04-30,106.02916666666665,68.04583333333333,810.0,43.63333333333333,42.69166666666666,103.125,Delhi
2023-05-01,82.16250000000001,55.47083333333333,603.25,43.387499999999996,41.829166666666666,84.5,Delhi
2023-05-02,61.46666666666667,41.637499999999996,650.5,46.0875,38.53333333333333,67.0,Delhi
2023-05-03,87.29583333333333,60.44166666666666,1313.25,65.02083333333333,64.88333333333334,56.208333333333336,Delhi
2023-05-04,115.27499999999999,80.02499999999999,1902.2083333333333,77.42916666666666,85.14583333333333,85.5,Delhi
2023-05-05,143.65,97.14999999999999,1914.0416666666667,83.97083333333333,78.69583333333334,100.08333333333333,Delhi
2023-05-06,87.16250000000001,53.416666666666664,1001.4583333333334,43.87083333333334,40.074999999999996,75.79166666666667,Delhi
2023-05-07,99.91250000000001,61.12083333333334,1016.4583333333334,59.50833333333333,51.666666666666664,89.75,Delhi
2023-05-08,88.09583333333335,52.275,871.3333333333334,64.13333333333334,45.6875,81.08333333333333,Delhi
2023-05-09,65.1875,39.108333333333334,672.3333333333334,44.82083333333333,34.237500000000004,90.375,Delhi
2023-05-10,53.48333333333333,31.695833333333336,595.75,38.05833333333333,27.25,101.29166666666667,Delhi
2023-05-11,100.15416666666665,64.9875,1124.875,61.199999999999996,50.020833333333336,108.625,Delhi
2023-05-12,129.36666666666667,88.52499999999999,1561.8333333333333,91.21249999999999,69.95833333333333,116.5,Delhi
2023-05-13,110.87083333333334,75.18333333333334,1255.0416666666667,82.42083333333333,59.24166666666667,124.08333333333333,Delhi
2023-05-14,98.47916666666667,63.01666666666667,909.3333333333334,68.89583333333333,50.074999999999996,113.29166666666667,Delhi
2023-05-15,77.54166666666667,45.36666666666667,805.9166666666666,52.0375,33.225,85.33333333333333,Delhi
2023-05-16,81.24166666666666,45.87083333333334,838.2083333333334,45.675000000000004,33.520833333333336,81.58333333333333,Delhi
2023-05-17,88.95833333333333,48.74166666666667,881.2083333333334,52.449999999999996,33.175,74.16666666666667,Delhi
2023-05-18,66.3375,32.112500000000004,455.875,34.791666666666664,24.90416666666667,85.54166666666667,Delhi
2023-05-19,66.44583333333334,36.300000000000004,419.3333333333333,27.6125,25.8,106.29166666666667,Delhi
2023-05-20,66.25833333333334,39.112500000000004,463.625,35.11666666666667,38.391666666666666,96.5,Delhi
2023-05-21,79.21666666666667,48.833333333333336,898.7916666666666,53.8125,57.09583333333333,74.41666666666667,Delhi
2023-05-22,76.96666666666667,38.68333333333333,1087.5,44.25,34.63333333333333,67.16666666666667,Delhi
2023-05-23,77.10000000000001,37.362500000000004,825.4583333333334,36.516666666666666,30.337500000000002,62.0,Delhi
2023-05-24,76.05833333333334,43.04583333333333,716.25,54.354166666666664,43.083333333333336,66.375,Delhi
2023-05-25,88.72500000000001,52.82083333333333,770.1666666666666,62.42916666666667,54.09583333333333,83.70833333333333,Delhi
2023-05-26,127.03750000000001,79.08749999999999,1152.625,78.80416666666666,64.72916666666667,101.75,Delhi
2023-05-27,106.10833333333333,67.32083333333334,1041.0416666666667,77.07083333333334,48.5,91.66666666666667,Delhi
2023-05-28,107.65416666666665,67.98333333333333,1026.9166666666667,74.34583333333333,55.987500000000004,98.33333333333333,Delhi
2023-05-29,121.2375,73.82083333333334,1048.5833333333333,60.354166666666664,54.612500000000004,109.5,Delhi
2023-05-30,99.36666666666667,62.04583333333333,664.25,45.525,41.795833333333334,120.04166666666667,Delhi
2023-05-31,70.67916666666666,40.84166666666667,509.5416666666667,38.875,27.099999999999998,86.75,Delhi
2023-06-01,75.69166666666668,46.56666666666666,619.5833333333334,42.3125,37.94583333333333,98.29166666666667,Delhi
2023-06-02,71.17083333333333,42.675000000000004,621.25,41.233333333333334,30.179166666666664,88.16666666666667,Delhi
2023-06-03,74.64583333333333,48.12083333333334,900.7083333333334,54.44583333333333,36.88333333333333,87.66666666666667,Delhi
2023-06-04,76.075,46.6,720.1666666666666,52.80833333333334,32.479166666666664,82.125,Delhi
2023-06-05,83.94166666666666,52.375,995.5416666666666,44.30833333333334,35.59166666666667,96.04166666666667,Delhi
2023-06-06,124.25416666666666,79.825,1847.0,79.97083333333333,70.1375,95.5,Delhi
2023-06-07,72.9375,45.89166666666667,702.5,48.65416666666667,36.925000000000004,95.04166666666667,Delhi
